Star,IRASname,Spectraltype,Date,Standard,F12(Jy),Dist(kpc),Bsil,M_dot(M/yr),l_peak(mm),FWHM(mm),LogL
IRC30305,173483207,M3.3Ib,17,jLib,50,1.8,10.9,5.6e-6,9.8,2.6,4.5
HD160810,174003516,M0.7Ib,16,hSgr,11,1.3,1.4,6.1e-8,--,--,4.5
IRC30303,173223159,M2Iab,16,jLib,24,2.5,7.6,3.7e-6,9.7,2.4,5.1
IRC30312,173743156,M2.6Ia,16,hSgr,102,2.0,6.8,8.8e-6,10.1,3.5,5.1
V540Sgr,175663555,M5Iab,16,hSgr,57,3.5,11.6,2.7e-5,9.7,2.4,5.1
IRC10419,182271347,M2.5Iab,17,gAql,18,2.2,5.4,1.5e-6,10.0,2.7,5.1
HD171094,183051408,M3.0Iab,17,gAql,35,2.1,8.0,3.9e-6,10.0,2.6,5.1
UWAql,185500023,M2.2Iab,27/6/98,gAql,30,2.0,4.6,1.7e-6,10.1,3.0,5.1
V717Cyg,195903041,M2.8Iab,17,«Cyg,11,3.2,5.6,1.9e-6,10.0,2.6,5.1
V1749Cyg,201933527,M2.6Iab,17,bPeg,42,1.8,4.2,1.7e-6,10.2,3.1,5.1
BCCyg,201973722,M3.2Iab,16,gAql,424,1.8,11.9,5.3e-5,9.7,2.5,5.1
KYCyg,202413811,M3.9Iab,16,gAql,511,1.8,10.2,5.5e-5,9.7,2.7,5.1
RWCyg,202703948,M2.9Iab,16,«Cyg,298,1.0,8.9,8.6e-6,9.9,2.8,5.1
AZCyg,(20h56m),M3.1Iab,16,gAql,--,2.9,13.8,5.2e-5,9.8,2.4,5.1
HR8572,222744726,M0.3Iab,17,bPeg,47,0.5,0.7,9.4e-9,--,--,5.1
Case75,223175838,M2.7Iab,17,bPeg,78,2.8,11.1,2.2e-5,9.9,2.7,5.1
V355Cep,224715902,M1.1Iab,16,bPeg,19,2.8,6.4,3.0e-6,10.0,2.6,5.1
GPCas,23605922,M2.8Iab,16,bAnd,26,2.3,3.9,1.6e-6,10.0,3.0,5.1
WPer,24695646,M3.6Iab,4/10/92,aTau,90,4.3,9.1,4.9e-5,9.9,2.8,5.1
V500Cas,24735738,M2.9Iab,16,bAnd,39,2.3,7.1,4.6e-6,9.9,2.8,5.1
IOPer,30305532,M3.9Iab,17,aAur,240,1.9,8.9,2.5e-5,9.8,2.8,5.1
aOri,55240723,M2.2Iab,1/11/93,aCMa,4682,0.2,3.7,2.1e-6,9.9,2.6,5.1
TVGem,60882152,M0.6Iab,17,aAur,96,1.5,8.9,6.2e-6,9.8,2.7,5.1
AHSco,170803215,M5Ia-Iab,16,hSgr,630,4.6,10.3,4.5e-4,9.6,2.4,5.4
IRC30304,173363213,M3Ia,16,hSgr,25,4.2,3.1,3.9e-6,",10.5",>4,5.5
KWSgr,174882800,M2.4Ia,16,hSgr,250,3.0,10.9,7.8e-5,9.6,2.3,5.5
VXSgr,180502213,M4Ia,7/5/91,aBoo,2738,1.7,6.6,1.6e-4,9.4,2.9,5.5
UYSct,182481229,M3.4Ia,27/6/98,gAql,259,2.9,8.3,5.8e-5,9.9,3.6,5.5
NRVul,194802447,M1.1Ia,16,gAql,106,2.5,7.8,1.7e-5,9.7,3.1,5.5
CIT11,203773901,M4(Ia),16,«Cyg,45,2.5,4.5,3.9e-6,10.1,3.8,5.5
mCep,214195832,M2.2Ia,24/5/91,bPeg,1296,0.8,7.9,2.3e-5,9.6,2.7,5.5
AZCep,220695918,M1.6Ia,16,bPeg,16,1.0,4.1,2.0e-7,10.2,3.3,5.5
STCep,222825644,M2.6Ia,17,bPeg,55,1.0,9.4,1.7e-6,9.9,2.6,5.5
ULac,224565453,M2.5Ia,17,bPeg,124,2.8,7.4,2.3e-5,9.8,2.7,5.5
V358Cas,232815742,M2.8Ia,16,bAnd,84,3.2,11.4,3.2e-5,9.9,2.5,5.5
V411Per,31135441,M3.4Ia,17,aAur,36,2.2,4.0,2.1e-6,9.8,>4,5.5
RWCep,222125542,K5:Ia0,16,bPeg,97,2.8,7.5,1.8e-5,10.1,2.8,5.7
IRC20565,192721929,M2Ib,17,gAql,14,2.5,9.6,2.8e-6,9.9,2.4,4.4
BD254097,200372527,M3Ib,16,gAql,13,0.4,0.7,1.7e-9,10.4,3.4,4.4
V466Cas,11675802,M1.1Ib,17,bPeg,2.9,2.5,0.6,1.2e-8,--,--,4.4
BD47485,14004815,M2Ib,16,bAnd,12,1.5,0.9,3.3e-8,10.3,3.4,4.4
