Star,SpecTypel,Teff,Mbol
BD+59°38,M2I,3650,-7.17
Case23,M3I,3600,-6.28
HD236697,M1.5I,3700,-6.25
BD+59°274,M1I,3750,-6.14
BD+60°335,M4I,3525,-7.05
HD236871,M2I,3625,-6.80
HD236915,M2I,3650,-6.40
BD+59°372,K5–M0I,3825,-5.77
BD+56°512,M3I,3600,-7.17
HD14469,M3–4I,3575,-7.64
HD14488,M4I,3550,-8.15
HD14528,M4.5I,3500,-8.53
BD+56°595,M1I,3800,-6.31
HD14580,M1I,3800,-6.35
HD14826,M2I,3625,-7.31
HD236979,M2I,3700,-6.97
WPer,M4.5I,3550,-7.09
BD+57°647,M2I,3650,-7.51
HD17958,K2I,4200,-6.63
HD23475,M2.5II,3625,
HD33299,K1I,4300,-5.37
HD35601,M1.5I,3700,-6.81
HD36389,...,3650,
HD37536,M2I,3700,-7.33
alphaOri,M2I,3650,
HD42475,M1I,3700,-7.76
HD42543,M0I,3800,-7.55
HD44537,M0I,3750,
HD50877,K2.5I,3900,-5.75
HD52005,K5I,3900,
HD52877,M1.5I,3750,-6.48
CD-31°4916,M2.5I,3600,-7.85
HD63302,K2I,4100,
HD90382,M3–M4I,3550,-8.27
HD91093,M2I,3625,-7.28
CPD-57°3502,M1.5I,3700,-6.99
HD303250,M2I,3625,-7.60
CD-58°3538,M2I,3625,-8.41
HD93420,M4I,3525,-7.60
HD94096,M2I,3650,-8.08
HD95687,M3I,3625,-7.63
HD95950,M2I,3700,-7.54
HD97671,M3–M4I,3550,-7.81
CD-60°3621,M1.5I,3700,-6.55
HD100930,M2.5I,3600,
CD-60°3636,M0I,3800,-5.98
V396Cen,M3–M4I,3550,-8.29
alphaHer,M5I,3450,
KWSgr,M1.5I,3700,-9.15
HD175588,M4II,3550,
HD181475,M1II,3700,
HD339034,K3I,4000,-8.63
BD+35°4077,M2.5I,3600,-8.3
BD+36°4025,M3–M4I,3575,-8.64
BD+37°3903,M3I,3575,-8.46
BD+39°4208,M3I,3600,-8.15
HD200905,K4.5I,3800,
HD202380,M2I,3700,-7.16
HR8248,K1I,4000,-5.12
HD206936,M1I,3700,-9.08
HD210745,K1.5I,4000,
BD+56°2793,M3I,3600,-5.48
Case75,M2.5I,3650,-9.17
Case78,M2I,3650,-7.69
HD216946,M0I,3800,-5.50
Case80,M3I,3625,-7.00
Case81,M2I,3700,-7.19
HD219978,M1I,3750,-6.44
BD+60°2613,M3I,3600,-9.64
BD+60°2634,M3I,3600,-7.73
